business_name,tiktok_like_range_month_m,tiktok_view_range_month_m,tiktok_comment_range_month_m,tiktok_like_range_month_m_1,tiktok_comment_range_month_m_1,tiktok_view_range_month_m_1
Grill 23 & Bar,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Smith & Wollensky,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Smith & Wollensky,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Smith & Wollensky,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Smith & Wollensky,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Smith & Wollensky,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
LoLa Burger,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
LoLa Burger,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
LoLa Burger,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
LoLa Burger,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
LoLa Burger,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Woods Hill Pier 4,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Woods Hill Pier 4,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(1633.0, 408000.0]"
Petit Robert Bistro,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Petit Robert Bistro,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Petit Robert Bistro,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Petit Robert Bistro,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Petit Robert Bistro,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Dial,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Dial,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
The Dial,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(256.625, 1633.0]"
The Dial,"(-0.001, 2.5]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
The Dial,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Blue Owl Central Square,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Blue Owl Central Square,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Blue Owl Central Square,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Blue Owl Central Square,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Blue Owl Central Square,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Yellow Door Taqueria,"(2.5, 61.25]","(1633.0, 408000.0]","(-0.001, 2.0]","(2.5, 61.25]","(2.0, 197.0]","(256.625, 1633.0]"
Yellow Door Taqueria,"(2.5, 61.25]","(256.625, 1633.0]","(2.0, 197.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Yellow Door Taqueria,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Yellow Door Taqueria,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Yellow Door Taqueria,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Bar 'Cino,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Bar 'Cino,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Bar 'Cino,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(1633.0, 408000.0]"
Bar 'Cino,"(2.5, 61.25]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(1633.0, 408000.0]"
Bar 'Cino,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Tradesman Coffee Shop & Lounge,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Tradesman Coffee Shop & Lounge,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(61.25, 31200.0]","(-0.001, 2.0]","(256.625, 1633.0]"
Tradesman Coffee Shop & Lounge,"(61.25, 31200.0]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Tradesman Coffee Shop & Lounge,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Tradesman Coffee Shop & Lounge,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Bakey Babka,"(61.25, 31200.0]","(1633.0, 408000.0]","(2.0, 197.0]","(61.25, 31200.0]","(-0.001, 2.0]","(1633.0, 408000.0]"
Bakey Babka,"(61.25, 31200.0]","(1633.0, 408000.0]","(-0.001, 2.0]","(61.25, 31200.0]","(2.0, 197.0]","(256.625, 1633.0]"
Bakey Babka,"(61.25, 31200.0]","(256.625, 1633.0]","(2.0, 197.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Bakey Babka,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(2.5, 61.25]","(-0.001, 2.0]","(256.625, 1633.0]"
Bakey Babka,"(2.5, 61.25]","(256.625, 1633.0]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
Delini Gelato Boston,"(-0.001, 2.5]","(-0.001, 256.625]","(-0.001, 2.0]","(-0.001, 2.5]","(-0.001, 2.0]","(-0.001, 256.625]"
